cfips,ba,county,state,latitude,longitude,wkt,geometry
48325,p65,medina,TX,29.4024,-99.1087,POINT (-99.1087 29.4024),POINT (-304054.09352179035 -1059450.7251627266)
48355,p65,nueces,TX,27.7778,-97.6629,POINT (-97.6629 27.7778),POINT (-165948.7646563632 -1243172.838172374)
48391,p65,refugio,TX,28.3093,-97.1471,POINT (-97.1471 28.3093),POINT (-113737.04939111297 -1185069.4949976217)
48409,p65,san patricio,TX,27.9997,-97.5016,POINT (-97.5016 27.9997),POINT (-149448.5160656678 -1218865.0034937058)
48427,p65,starr,TX,26.5105,-98.7859,POINT (-98.7859 26.5105),POINT (-282278.97040524817 -1380798.661628152)
48463,p65,uvalde,TX,29.3551,-99.7622,POINT (-99.7622 29.3551),POINT (-368154.4209944664 -1062281.7691132806)
48469,p65,victoria,TX,28.7954,-96.9415,POINT (-96.9415 28.7954),POINT (-92796.15400362007 -1131432.06834692)
48479,p65,webb,TX,27.7332,-99.288,POINT (-99.288 27.7332),POINT (-328251.01231935405 -1243710.9610488669)
48481,p65,wharton,TX,29.299,-96.221,POINT (-96.221 29.299),POINT (-21647.003323274323 -1076067.4005010042)
48489,p65,willacy,TX,26.4556,-97.7389,POINT (-97.7389 26.4556),POINT (-176324.97054395964 -1389511.5884017262)
48493,p65,wilson,TX,29.1652,-98.0851,POINT (-98.0851 29.1652),POINT (-204560.8757857788 -1088585.841679128)
48505,p65,zapata,TX,26.9454,-99.1717,POINT (-99.1717 26.9454),POINT (-319679.8888992299 -1331364.599901291)
48507,p65,zavala,TX,28.8648,-99.7623,POINT (-99.7623 28.8648),POINT (-370405.17518824956 -1116578.8426972956)
48071,p66,chambers,TX,29.7071,-94.5223,POINT (-94.5223 29.7071),POINT (144005.30108594798 -1029691.3966490164)
48199,p66,hardin,TX,30.3124,-94.3867,POINT (-94.3867 30.3124),POINT (156031.5393785712 -962378.8934867394)
48241,p66,jasper,TX,30.7013,-93.9986,POINT (-93.9986 30.7013),POINT (192615.1926968007 -918531.8329773208)
48245,p66,jefferson,TX,29.8764,-94.1418,POINT (-94.1418 29.8764),POINT (180698.87172583592 -1010250.4177473232)
48291,p66,liberty,TX,30.1848,-94.8629,POINT (-94.8629 30.1848),POINT (110154.88318335626 -977217.6022179449)
48339,p66,montgomery,TX,30.3293,-95.5146,POINT (-95.5146 30.3293),POINT (46938.41780671811 -961760.6439585437)
48347,p66,nacogdoches,TX,31.5347,-94.5952,POINT (-94.5952 31.5347),POINT (133780.85618139076 -827214.6676602045)
48351,p66,newton,TX,30.7161,-93.745,POINT (-93.745 30.7161),POINT (216976.41745372387 -916322.2523460068)
48361,p66,orange,TX,30.1075,-93.8955,POINT (-93.8955 30.1075),POINT (204054.8372552405 -984119.0173555729)
48373,p66,polk,TX,30.8186,-94.897,POINT (-94.897 30.8186),POINT (106001.8915344705 -906999.755694721)
48403,p66,sabine,TX,31.3731,-93.8461,POINT (-93.8461 31.3731),POINT (205530.19266944125 -843736.0447557722)
48405,p66,san augustine,TX,31.377,-94.1756,POINT (-94.1756 31.377),POINT (174084.6517984346 -843989.1917019328)
48407,p66,san jacinto,TX,30.6136,-95.1783,POINT (-95.1783 30.6136),POINT (79173.77980884432 -930011.3220191721)
48419,p66,shelby,TX,31.7749,-94.127,POINT (-94.127 31.7749),POINT (177815.46122281623 -799785.608068937)
48455,p66,trinity,TX,31.1046,-95.1246,POINT (-95.1246 31.1046),POINT (83825.29658249921 -875529.9986750283)
48457,p66,tyler,TX,30.7932,-94.3877,POINT (-94.3877 30.7932),POINT (154992.47567227008 -909086.6966178679)
48039,p67,brazoria,TX,29.2123,-95.5313,POINT (-95.5313 29.2123),POINT (45959.8490229741 -1085585.3967475325)
48157,p67,fort bend,TX,29.5257,-95.746,POINT (-95.746 29.5257),POINT (24810.314756738106 -1050931.0306992473)
48167,p67,galveston,TX,29.3824,-95.0331,POINT (-95.0331 29.3824),POINT (94610.76118944654 -1066347.8924278293)
48201,p67,harris,TX,29.8346,-95.389,POINT (-95.389 29.8346),POINT (59451.1455640121 -1016525.7643072633)
