Unnamed: 0,Locations,capacity_solar,cf_solar,reg_mult_solar,capacity_wind,cf_wind,reg_mult_wind,latitude,longitude,county,capacity_geo,cf_geo,state,reg_mult,trans_dist_orig,trans_dist,telecom_dist,water_price,FIPS,clim_zone,state_id
53069,74977,4248.41,0.35,0.94,300.0,0.32,1.02,31.6,-105.85,Hudspeth,518.9,0.99,Texas,0.94,29.18,496.36,31.29,3.7857142857142856,48229,3B,48
53070,74978,4243.09,0.35,0.94,300.0,0.4,1.02,31.61,-105.72,Hudspeth,514.92,0.99,Texas,0.94,36.12,490.76,38.29,3.7857142857142856,48229,3B,48
53071,74979,4240.48,0.35,0.94,294.0,0.38,1.02,31.62,-105.59,Hudspeth,509.27,0.99,Texas,0.94,44.21,485.29,46.15,3.7857142857142856,48229,3B,48
53072,74980,4243.98,0.35,0.94,294.0,0.32,1.02,31.63,-105.47,Hudspeth,487.42,0.99,Texas,0.94,50.77,479.93,51.23,3.7857142857142856,48229,3B,48
53073,74981,4233.37,0.35,0.94,294.0,0.3,1.02,31.64,-105.34,Hudspeth,452.85,0.99,Texas,0.94,57.97,474.62,49.8,3.7857142857142856,48229,3B,48
53074,74982,4242.57,0.35,0.94,300.0,0.31,1.02,31.65,-105.21,Hudspeth,423.86,0.99,Texas,0.94,65.55,469.46,52.28,3.7857142857142856,48229,3B,48
53075,74983,4242.86,0.35,0.94,300.0,0.32,1.02,31.66,-105.09,Hudspeth,370.9,0.99,Texas,0.94,72.71,464.37,58.18,3.7857142857142856,48229,3B,48
53076,74984,3866.18,0.35,0.94,276.0,0.28,1.02,31.67,-104.96,Hudspeth,243.52,0.99,Texas,0.94,79.87,459.5,66.46,3.7857142857142856,48229,3B,48
53077,74985,4247.3,0.35,0.94,294.0,0.35,1.02,31.68,-104.83,Culberson,0.68,0.99,Texas,0.94,87.03,454.71,70.93,3.7857142857142856,48109,3B,48
53078,74986,4242.47,0.35,0.94,306.0,0.48,1.02,31.69,-104.71,Culberson,0.0,0.0,Texas,0.94,94.19,450.08,73.01,3.7857142857142856,48109,3B,48
53079,74987,4228.69,0.34,0.94,300.0,0.43,1.02,31.7,-104.58,Culberson,0.0,0.0,Texas,0.94,17.07,445.46,74.93,3.7857142857142856,48109,3B,48
53080,74988,4236.17,0.34,0.94,306.0,0.39,1.02,31.71,-104.46,Culberson,0.0,0.0,Texas,0.94,9.91,441.15,61.19,3.7857142857142856,48109,3B,48
53081,74989,4213.19,0.34,0.94,288.0,0.39,1.02,31.72,-104.33,Culberson,0.0,0.0,Texas,0.94,3.53,436.87,47.48,3.7857142857142856,48109,3B,48
53082,74990,4237.35,0.34,0.94,282.0,0.36,1.02,31.73,-104.2,Culberson,0.0,0.0,Texas,0.94,97.93,432.73,34.11,3.7857142857142856,48109,3B,48
53083,74991,4149.63,0.34,0.94,276.0,0.32,1.02,31.73,-104.08,Culberson,0.0,0.0,Texas,0.94,90.63,428.83,21.89,3.7857142857142856,48109,3B,48
53084,74992,4178.45,0.34,0.94,270.0,0.32,1.02,31.74,-103.95,Reeves,0.0,0.0,Texas,0.94,83.38,424.97,13.56,3.7857142857142856,48389,3B,48
53085,74993,4155.82,0.34,0.94,264.0,0.31,1.02,31.75,-103.82,Reeves,0.0,0.0,Texas,0.94,76.08,421.34,17.06,3.7857142857142856,48389,3B,48
53086,74994,4209.12,0.34,0.94,282.0,0.3,1.02,31.76,-103.69,Loving,0.0,0.0,Texas,0.94,68.83,417.86,28.23,3.7857142857142856,48301,3B,48
53087,74995,4105.46,0.34,0.93,282.0,0.33,1.01,31.77,-103.57,Loving,0.0,0.0,Texas,0.93,61.53,414.57,35.34,3.7857142857142856,48301,3B,48
53088,74996,4188.31,0.34,0.93,270.0,0.35,1.01,31.78,-103.44,Loving,0.0,0.0,Texas,0.93,54.14,411.41,39.41,3.7857142857142856,48301,3B,48
53089,74997,4197.68,0.34,0.93,282.0,0.35,1.01,31.78,-103.31,Winkler,0.0,0.0,Texas,0.93,46.89,408.41,47.49,3.7857142857142856,48495,3B,48
53090,74998,4064.12,0.34,0.93,276.0,0.38,1.01,31.79,-103.19,Winkler,0.0,0.0,Texas,0.93,39.73,405.67,39.5,3.7857142857142856,48495,3B,48
53091,74999,3981.66,0.34,0.93,276.0,0.4,1.01,31.8,-103.06,Winkler,0.0,0.0,Texas,0.93,32.38,403.02,30.02,3.7857142857142856,48495,3B,48
53092,75000,4218.17,0.34,0.93,294.0,0.43,1.01,31.8,-102.93,Winkler,0.0,0.0,Texas,0.93,25.18,400.62,25.23,3.7857142857142856,48495,3B,48
53093,75001,4208.46,0.34,0.93,288.0,0.45,1.01,31.81,-102.81,Ector,0.0,0.0,Texas,0.93,18.02,398.41,27.75,3.7857142857142856,48135,3B,48
53094,75002,3931.78,0.34,0.93,282.0,0.47,1.01,31.82,-102.68,Ector,0.0,0.0,Texas,0.93,10.86,396.38,36.09,3.7857142857142856,48135,3B,48
53095,75003,3871.29,0.34,0.93,276.0,0.49,1.01,31.83,-102.55,Ector,0.0,0.0,Texas,0.93,3.65,394.53,23.17,3.7857142857142856,48135,3B,48
53096,75004,3638.47,0.34,0.93,240.0,0.48,1.01,31.83,-102.42,Ector,0.0,0.0,Texas,0.93,4.5,392.87,10.01,3.7857142857142856,48135,3B,48
53097,75005,3670.73,0.34,0.93,264.0,0.47,1.01,31.84,-102.3,Ector,0.0,0.0,Texas,0.93,1.04,391.41,7.87,3.7857142857142856,48135,3B,48
53102,75010,4020.59,0.33,0.92,294.0,0.51,1.0,31.87,-101.66,Glasscock,0.0,0.0,Texas,0.92,10.11,387.27,14.81,3.7857142857142856,48173,3B,48
53103,75011,3938.79,0.33,0.92,288.0,0.51,1.0,31.88,-101.54,Glasscock,0.0,0.0,Texas,0.92,31.76,386.75,3.16,3.7857142857142856,48173,3B,48
53104,75012,4075.61,0.33,0.92,288.0,0.49,1.0,31.88,-101.41,Glasscock,0.0,0.0,Texas,0.92,17.54,386.24,14.21,3.7857142857142856,48173,3B,48
53105,75013,4166.24,0.33,0.92,288.0,0.52,1.0,31.89,-101.28,Glasscock,0.0,0.0,Texas,0.92,17.42,385.91,27.06,3.7857142857142856,48173,3B,48
53106,75014,4171.66,0.32,0.92,294.0,0.48,0.99,31.89,-101.15,Sterling,0.0,0.0,Texas,0.92,20.56,385.69,34.31,3.7857142857142856,48431,3B,48
53107,75015,4212.34,0.32,0.92,294.0,0.48,0.99,31.9,-101.03,Sterling,0.0,0.0,Texas,0.92,25.24,385.76,45.01,3.7857142857142856,48431,3B,48
53108,75016,4180.18,0.32,0.91,396.0,0.53,0.99,31.9,-100.9,Sterling,0.0,0.0,Texas,0.91,40.85,386.03,42.85,3.7857142857142856,48431,3B,48
