location,value
48399,"{'ba': 'p61', 'county_name': 'runnels', 'state': 'TX'}"
48413,"{'ba': 'p61', 'county_name': 'schleicher', 'state': 'TX'}"
48431,"{'ba': 'p61', 'county_name': 'sterling', 'state': 'TX'}"
48435,"{'ba': 'p61', 'county_name': 'sutton', 'state': 'TX'}"
48441,"{'ba': 'p61', 'county_name': 'taylor', 'state': 'TX'}"
48443,"{'ba': 'p61', 'county_name': 'terrell', 'state': 'TX'}"
48451,"{'ba': 'p61', 'county_name': 'tom green', 'state': 'TX'}"
48465,"{'ba': 'p61', 'county_name': 'val verde', 'state': 'TX'}"
48003,"{'ba': 'p62', 'county_name': 'andrews', 'state': 'TX'}"
48103,"{'ba': 'p62', 'county_name': 'crane', 'state': 'TX'}"
48135,"{'ba': 'p62', 'county_name': 'ector', 'state': 'TX'}"
48173,"{'ba': 'p62', 'county_name': 'glasscock', 'state': 'TX'}"
48301,"{'ba': 'p62', 'county_name': 'loving', 'state': 'TX'}"
48317,"{'ba': 'p62', 'county_name': 'martin', 'state': 'TX'}"
48329,"{'ba': 'p62', 'county_name': 'midland', 'state': 'TX'}"
48383,"{'ba': 'p62', 'county_name': 'reagan', 'state': 'TX'}"
48461,"{'ba': 'p62', 'county_name': 'upton', 'state': 'TX'}"
48475,"{'ba': 'p62', 'county_name': 'ward', 'state': 'TX'}"
48495,"{'ba': 'p62', 'county_name': 'winkler', 'state': 'TX'}"
48001,"{'ba': 'p63', 'county_name': 'anderson', 'state': 'TX'}"
48005,"{'ba': 'p63', 'county_name': 'angelina', 'state': 'TX'}"
48009,"{'ba': 'p63', 'county_name': 'archer', 'state': 'TX'}"
48027,"{'ba': 'p63', 'county_name': 'bell', 'state': 'TX'}"
48035,"{'ba': 'p63', 'county_name': 'bosque', 'state': 'TX'}"
48049,"{'ba': 'p63', 'county_name': 'brown', 'state': 'TX'}"
48073,"{'ba': 'p63', 'county_name': 'cherokee', 'state': 'TX'}"
48077,"{'ba': 'p63', 'county_name': 'clay', 'state': 'TX'}"
48085,"{'ba': 'p63', 'county_name': 'collin', 'state': 'TX'}"
48093,"{'ba': 'p63', 'county_name': 'comanche', 'state': 'TX'}"
48097,"{'ba': 'p63', 'county_name': 'cooke', 'state': 'TX'}"
48099,"{'ba': 'p63', 'county_name': 'coryell', 'state': 'TX'}"
48113,"{'ba': 'p63', 'county_name': 'dallas', 'state': 'TX'}"
48119,"{'ba': 'p63', 'county_name': 'delta', 'state': 'TX'}"
48121,"{'ba': 'p63', 'county_name': 'denton', 'state': 'TX'}"
48133,"{'ba': 'p63', 'county_name': 'eastland', 'state': 'TX'}"
48139,"{'ba': 'p63', 'county_name': 'ellis', 'state': 'TX'}"
48143,"{'ba': 'p63', 'county_name': 'erath', 'state': 'TX'}"
48145,"{'ba': 'p63', 'county_name': 'falls', 'state': 'TX'}"
48147,"{'ba': 'p63', 'county_name': 'fannin', 'state': 'TX'}"
48159,"{'ba': 'p63', 'county_name': 'franklin', 'state': 'TX'}"
48161,"{'ba': 'p63', 'county_name': 'freestone', 'state': 'TX'}"
48181,"{'ba': 'p63', 'county_name': 'grayson', 'state': 'TX'}"
48193,"{'ba': 'p63', 'county_name': 'hamilton', 'state': 'TX'}"
48213,"{'ba': 'p63', 'county_name': 'henderson', 'state': 'TX'}"
48217,"{'ba': 'p63', 'county_name': 'hill', 'state': 'TX'}"
